name,type,diretorio,accuracy,loss,val_accuracy,val_loss,l2,dropout,min_lr,factor,patience,patienceReduce,batch_size,pesos,epoch,time,seed
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_12,0.6293261051177979,0.9911965131759644,0.577204704284668,1.1719321012496948,0.0001,0.2,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],20.0,767.0714678000077,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_13,0.6014798283576965,1.0496059656143188,0.5198981165885925,1.3008898496627808,0.0001,0.3,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],21.0,1015.2798749000068,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_14,0.4822181463241577,1.337820291519165,0.4597262144088745,1.2357871532440186,0.0001,0.4,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],23.0,1430.4032544000074,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_15,0.3272336721420288,1.576249599456787,0.3393823504447937,1.3957743644714355,0.0001,0.5,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],10.0,758.7100274999975,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_16,0.3928713500499725,1.496907353401184,0.473416119813919,1.219208002090454,0.0001,0.6,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],16.0,822.6756580000219,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_17,0.4394939839839935,1.4041718244552612,0.5214899778366089,1.1434415578842163,0.0001,0.7,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],29.0,1233.984413500002,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_18,0.5318641066551208,1.25849187374115,0.430754542350769,1.379089117050171,0.001,0.2,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],9.0,651.2950807999878,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_19,0.3966107070446014,1.5696547031402588,0.438713788986206,1.3500745296478271,0.001,0.3,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],7.0,620.3684152999776,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_20,0.5692576766014099,1.1780247688293457,0.5536453127861023,1.2299244403839111,0.001,0.4,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],20.0,1017.2429026000028,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_21,0.61341392993927,1.052815079689026,0.5425024032592773,1.2782186269760132,0.001,0.5,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],28.0,1404.4519616999896,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_22,0.4648739099502563,1.418144941329956,0.4546322822570801,1.2827857732772827,0.001,0.6,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],14.0,806.8464747999969,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_23,0.4264460206031799,1.3919633626937866,0.4657752215862274,1.3195855617523191,0.001,0.7,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],19.0,921.4186932000156,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_24,0.5468215346336365,1.2652212381362915,0.5011143088340759,1.3998640775680542,0.005,0.2,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],10.0,722.4184329000127,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_25,0.4932771027088165,1.405479073524475,0.5456860661506653,1.22352135181427,0.005,0.3,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],10.0,670.7130462999921,
AffectnetGray,best,models/tests/AffectnetGray/AffectnetGray_26,0.4364706873893738,1.5100247859954834,0.4555873870849609,1.304007053375244,0.005,0.4,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],7.0,546.9623885999899,
