name,type,diretorio,accuracy,loss,val_accuracy,val_loss,l2,dropout,min_lr,factor,patience,patienceReduce,batch_size,epoch,time,seed
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_0,0.7163279056549072,0.7140898704528809,0.693932831287384,0.8187383413314819,0.0001,0.1,1e-07,0.1,10,5,32,41,2681.4104790250003,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_1,0.7277777791023254,0.6904805302619934,0.706392228603363,0.7540475130081177,0.0001,0.1,1e-07,0.2,10,5,32,37,2329.418918018,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_2,0.7247290015220642,0.6985056400299072,0.6912242770195007,0.7769225835800171,0.0001,0.1,1e-07,0.3,10,5,32,35,2214.699731115,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_3,0.7268970012664795,0.688220739364624,0.7074756026268005,0.7528153657913208,0.0001,0.1,1e-07,0.4,10,5,32,36,2267.532404593001,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_4,0.7132113575935364,0.7240704894065857,0.6527627110481262,0.8682667016983032,0.0001,0.1,1e-07,0.5,10,5,32,28,1781.0182131639997,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_5,0.7076558470726013,0.7333095073699951,0.7066630721092224,0.7605202794075012,0.0001,0.2,1e-07,0.1,10,5,32,41,2576.9819936210006,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_6,0.7231707572937012,0.7087951302528381,0.7126218676567078,0.7426039576530457,0.0001,0.2,1e-07,0.2,10,5,32,49,3079.017453608998,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_7,0.7096205949783325,0.7271213531494141,0.7139761447906494,0.7508012056350708,0.0001,0.2,1e-07,0.3,10,5,32,32,2037.4454204229987,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_8,0.686517596244812,0.7675991058349609,0.6828277111053467,0.7931486368179321,0.0001,0.2,1e-07,0.4,10,5,32,39,2474.261808998999,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_9,0.714363157749176,0.7194108963012695,0.7053087949752808,0.7995662093162537,0.0001,0.2,1e-07,0.5,10,5,32,37,2354.601318076002,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_10,0.699999988079071,0.7490125298500061,0.7096424698829651,0.7574813961982727,0.0001,0.3,1e-07,0.1,10,5,32,42,2651.3021606380025,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_11,0.7140243649482727,0.7295392155647278,0.6982665061950684,0.7744652628898621,0.0001,0.3,1e-07,0.2,10,5,32,45,2873.970508798,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_12,0.7112466096878052,0.7278623580932617,0.7115384340286255,0.7736678719520569,0.0001,0.3,1e-07,0.3,10,5,32,45,2886.8059721030004,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_13,0.7075203061103821,0.7287008762359619,0.7096424698829651,0.7515112161636353,0.0001,0.3,1e-07,0.4,10,5,32,59,3783.873051742994,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_14,0.7214769721031189,0.7035361528396606,0.7150595784187317,0.7442676424980164,0.0001,0.3,1e-07,0.5,10,5,32,60,3881.811996356999,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_15,0.69247967004776,0.7683959007263184,0.7028710842132568,0.7574164271354675,0.0001,0.4,1e-07,0.1,10,5,32,41,2677.172792741003,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_16,0.6613821387290955,0.8222386837005615,0.6841819882392883,0.8038667440414429,0.0001,0.4,1e-07,0.2,10,5,32,30,1967.8837595759976,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_17,0.6934281587600708,0.7546040415763855,0.6931202411651611,0.7796763181686401,0.0001,0.4,1e-07,0.3,10,5,32,53,3475.9020097309985,6743.0
AffectnetBalanced,last,models/tests/AffectnetBalanced/AffectnetBalanced_18,0.6705284714698792,0.8041755557060242,0.6511375904083252,0.8818079233169556,0.0001,0.4,1e-07,0.4,10,5,32,30,1981.9733871860008,6743.0
