name,type,diretorio,accuracy,loss,val_accuracy,val_loss,l2,dropout,min_lr,factor,patience,patienceReduce,batch_size,pesos,epoch,time,seed
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_12,0.6504097580909729,0.9479080438613892,0.5918497443199158,1.2524734735488892,0.0001,0.2,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],30.0,767.0714678000077,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_13,0.6200175285339355,1.0141818523406982,0.5450493693351746,1.3240097761154177,0.0001,0.3,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],31.0,1015.2798749000068,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_14,0.4886625707149505,1.3156936168670654,0.4320280253887176,1.2977747917175293,0.0001,0.4,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],33.0,1430.4032544000074,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_15,0.3935078382492065,1.4765363931655884,0.3336516916751861,1.5555024147033691,0.0001,0.5,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],20.0,758.7100274999975,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_16,0.5511178374290466,1.1806137561798096,0.527220606803894,1.228734016418457,0.0001,0.6,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],26.0,822.6756580000219,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_17,0.4785583615303039,1.3318520784378052,0.4762814342975616,1.1932871341705322,0.0001,0.7,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],39.0,1233.984413500002,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_18,0.615084707736969,1.0600769519805908,0.5565106868743896,1.4833924770355225,0.001,0.2,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],19.0,651.2950807999878,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_19,0.5848516225814819,1.1433730125427246,0.5297675728797913,1.41939377784729,0.001,0.3,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],17.0,620.3684152999776,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_20,0.6228021383285522,1.0430561304092407,0.5787965655326843,1.2664719820022583,0.001,0.4,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],30.0,1017.2429026000028,
AffectnetGray,last,models/tests/AffectnetGray/AffectnetGray_21,0.6287692189216614,1.0092631578445437,0.5673352479934692,1.2885490655899048,0.001,0.5,1e-06,0.2,10.0,5.0,32.0,[?.1.1.1],38.0,1404.4519616999896,
