name,type,diretorio,accuracy,loss,val_accuracy,val_loss,l2,dropout,min_lr,factor,patience,patienceReduce,batch_size,epoch,time,seed
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_0,0.7550695538520813,0.6466017961502075,0.7820711135864258,0.5781322121620178,0.0001,0.1,1e-07,0.1,10,5,32,57,1868.8439735,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_1,0.757193922996521,0.6440339684486389,0.7870942950248718,0.5745765566825867,0.0001,0.1,1e-07,0.2,10,5,32,57,1866.2332864,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_2,0.7780513763427734,0.5819975137710571,0.8108578324317932,0.5223743319511414,0.0001,0.1,1e-07,0.3,10,5,32,78,2553.684395800001,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_3,0.7733681201934814,0.596581220626831,0.8066074252128601,0.5328429937362671,0.0001,0.1,1e-07,0.4,10,5,32,78,2562.9440541000004,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_4,0.7898802757263184,0.5586977005004883,0.812982976436615,0.5136702060699463,0.0001,0.1,1e-07,0.5,10,5,32,104,3427.9771193,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_5,0.7502413988113403,0.6579806208610535,0.791924238204956,0.5666106343269348,0.0001,0.2,1e-07,0.1,10,5,32,92,3016.813299600002,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_6,0.7433854937553406,0.6739503145217896,0.7865146994590759,0.5760154724121094,0.0001,0.2,1e-07,0.2,10,5,32,68,2242.8197612000004,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_7,0.7540073394775391,0.6494107246398926,0.7963678240776062,0.5556971430778503,0.0001,0.2,1e-07,0.3,10,5,32,89,2917.8182680000027,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_8,0.7584009170532227,0.6378849744796753,0.7982998490333557,0.5502008199691772,0.0001,0.2,1e-07,0.4,10,5,32,89,2904.008159600002,
Fer2013Balanced,last,models/tests/Fer2013Balanced/Fer2013Balanced_9,0.7574836015701294,0.6335484981536865,0.802357017993927,0.545935869216919,0.0001,0.2,1e-07,0.5,10,5,32,68,2220.344380100003,
